workstream,claim,value_claimed,value_verified,source_checked,verdict,note
02,"3Q26 guide midpoint $4,730m; cushion-adjusted $4.82bn (+17.6% y/y)",4730 / 4820 / +17.6%,"4730 mid (letter $4.69-4.77bn); 4730x1.0179=4,815 = +17.6% on 3Q25 $4,095m",data/raw/letters/2Q26_d70413dex991.htm; abnb_driver_history_quarterly.csv,confirmed,Arithmetic exact.
02,None of guidance explains the stock: no positive LOO R2 in 17 regressions,0 positive LOO,consistent with WS04's independent 97-test grid (no positive LOO at day 1),data/processed/overnight/02_guidance_reaction_tests.csv; 04_reaction_tests.csv,confirmed,Directionally corroborated by an independent test grid.
02,Nights bucket-guide beaten by +3 to +5 pts every time,+3 to +5 pts,cited instances are 4Q25 +4.8 and 1Q26 +1.2,the note's own For-the-model row,wrong,"The note's own evidence includes a +1.2 beat, so 'every time by 3-5 pts' is not supported. Use +1 to +5."
02,"FCF margin premium over adj. EBITDA margin +4.0 pts (FY24), +2.6 (FY25)",+4.0 / +2.6,+3.99 / +2.58,abnb_driver_history_quarterly.csv,confirmed,
02,SBC guide understates: FY24 guided +20/+25% vs +30.8% actual,+30.8%,"1,439 / 1,100 = +30.8%",abnb_driver_history_quarterly.csv,confirmed,
02,1H26 revenue +17.1%; 1H26 adj. EBITDA margin 28.32% vs 27.20%,17.1 / 28.32 / 27.20,17.10 / 28.32 / 27.20,abnb_driver_history_quarterly.csv,confirmed,
03,LM net tone in mgmt Q&A: detrended r +0.08 with day-1 excess (n 23),+0.08,+0.077,data/processed/overnight/03_reaction_controls.csv (lm_net_qa),confirmed,"Hedging +0.086, tone gap -0.111, d-macro-share -0.131 all confirmed."
03,"Long-term-target share of prepared remarks: detrended r +0.69, perm p 0.0005; +0.72 with number controls",+0.69 / 0.0005 / +0.72,+0.688 / 0.0005 / +0.724,03_reaction_controls.csv row 0,confirmed,
03,The ONLY one of 79 features that turns the numbers-only day-1 LOO R2 from -2.31 into +0.34,only 1 of 79,"3 of 79 features give a positive LOO R2 (+0.341, +0.294, +0.133)",data/processed/overnight/03_reaction_incremental.csv,wrong,"All three are long-term-target variants, so the theme survives, but 'the only one' is false. The baseline (-2.31 at n=17) is a wildly overfit model, so the delta is not evidence either."
03,948 tests (474 + 237 + 237); zero pass BH q<0.10; best q 0.12,948 / 0 / 0.12,474+237+237=948; min bh_q 0.29 (tests) and 0.119 (controls); none < 0.10,"03_reaction_tests.csv, 03_reaction_controls.csv",confirmed,Best-disciplined multiplicity accounting in the run.
03,"Management forward claims 62% hit rate; next-q 80% (n15), FY 73% (n30), multi-year 26% (n19)",62/80/73/26,62.1 / 80.0 / 73.3 / 26.3,data/processed/overnight/03_credibility_scorecard.csv,confirmed,n_closed 66/15/30/19 all match.
03,"Quantified 82% (n27) vs unquantified 49% (n39); Chesky 42% (n19), Stephenson 74%, Mertz 63%",82/49/42/74/63,81.5 / 48.7 / 42.1 / 73.9 / 62.5,same,confirmed,
03,Pricing/affordability claims are 0 for 7,0 of 7,strict hit rate 0.0 on n_closed 7; 2 of the 7 scored 'partly' (14.3% incl. partly),"same, theme=pricing_adr",confirmed,"Strictly true; say '0 of 7 strict, 2 partial' if challenged."
03,ADR rose every calendar year: 156.0 / 160.3 / 163.1 / 166.0 / 171.2 / 185.3 (1H26),156.0-185.3,156.0 / 160.8 / 163.5 / 166.4 / 171.3 / 185.2 from GBV/nights,abnb_driver_history_quarterly.csv,confirmed,Differences are the rounded $bn GBV disclosures. Direction and magnitude right.
04,Consensus reconstructed for all 23 prints; ABNB beat revenue consensus at 22 of 23,23 / 22 of 23,23 rows; sign-test file shows n=22 revenue beats,04_consensus_at_print.csv; 04_reaction_tests.csv rows 78/90,confirmed,
04,Best day-1 regressor is guide-vs-Street R2 0.116; beat-vs-guide 0.055; revenue surprise 0.097; every day-1 spec has negative LOO R2,0.116/0.055/0.097,0.1162 / 0.0554 / 0.0973; no excess_1d_pct spec has LOO R2 > 0,04_reaction_tests.csv,confirmed,
04,"Nights-vs-Street at 20d: n18, R2 0.220, slope +1.54, t 2.46, perm p 0.053, LOO R2 +0.13",0.220/1.54/2.46/0.053/+0.13,0.2199 / 1.5437 / 2.458 / 0.0532 / 0.1327,04_reaction_tests.csv row 24,confirmed,"Post-2022 n11 R2 0.373, slope 2.834, LOO 0.178 also confirmed."
04,LOO R2 +0.13 is the ONLY positive out-of-sample R2 among 97 tests,only 1 of 97,9 of the 75 LOO-evaluated specs have a positive LOO R2; the largest is post-2022 EPS surprise at 20d (+0.222),04_reaction_tests.csv,wrong,"Correct framing: it is the best full-sample positive-LOO spec, one of 9 positives, and every positive is at 20 days, none at day 1."
04,"Guide below Street: 8 of 8 negative 20-day excess, mean -7.95% vs -2.90%; p 0.004 coin-flip, 0.078 vs base rate","8/8, -7.95/-2.90","8/8, -7.95/-2.90, binom_p 0.0039, vs base rate 0.0783",04_reaction_tests.csv rows 87/88,confirmed,Base-rate framing is the honest one and the note uses it.
04,"Q3-26 Street revenue $4,740m (Zacks, 7 estimates), guide midpoint $4,730m",4740 / 4730,"4740, 7 estimates, verbatim Zacks quote stored; guide mid 4730 from the letter",04_current_consensus.csv; 2Q26 letter,confirmed,Not re-fetched from Zacks; the note stores the verbatim quote and URL.
04,"Q4-26 Street revenue $3,200m (range 3,050-3,700)",3200,"3200 in file; but 1H26 actual 6,286 + Q3 4,740 + Q4 3,200 = 14,226 vs Zacks FY26 14,100",04_current_consensus.csv,confirmed,"Recorded faithfully, but the vendor's quarters do not sum to its FY. Q4 at 3,200 = +15.2% y/y, well above WS05's expected +11-13% guide - a live 'guide below Street' setup for 5 Nov."
05,"EUR/USD y/y: +11.1% 1Q26, +2.6% 2Q26, -1.6% 3Q26 QTD to 28 Aug",11.1 / 2.6 / -1.6,+11.11 / +2.56 / -1.56,"FRED DEXUSEU, pulled 6 Sep 2026",confirmed,Broad USD y/y -6.72 / -2.54 / -0.39 also matches 05_fx_schedule.csv exactly.
05,"ADR FX (pp) = 0.52 - 0.715 x broad USD y/y, n 17, r -0.96",0.525/-0.715/17/-0.96,"intercept 0.5246, slope -0.7154, n 17, r -0.9641",05_fx_fits.csv (adr_fx/usd_broad/ex21),confirmed,
05,"Revenue FX = -0.640 + 0.413 x mean(EUR/USD y/y t-1,t-2); the lagged fit predicts +2.9pp for 3Q26 against the +3.0pp guide",+2.9 pp,+2.19 pp (the file's own revenue_fx_fit_pp for 2026Q3); -0.6371 + 0.4133 x 6.835 = +2.19,05_fx_schedule.csv; 05_fx_fits.csv,wrong,"The equation is right but its 3Q26 output is +2.2pp, not +2.9pp. The out-of-sample validation is 0.8pp light, not 0.1pp. The conclusion (lagged beats contemporaneous) still holds."
05,Revenue FX 4Q26 -0.4pp; FY27 consensus -0.6 / strong USD -2.6 / weak USD +0.9,-0.4/-0.6/-2.6/+0.9,-0.43; FY27 means -0.63 / -2.56 / +0.86,05_fx_schedule.csv,confirmed,ADR FX FY27 -0.1 / -2.8 / +1.9 also confirmed.
05,"Nights have sat in a 7.4%-12.3% band since 1Q24; 1,408 pairs tested, 0 high-confidence macro driver of nights",7.4-12.3,"min 7.434 (2Q25), max 12.348 (4Q24)",abnb_driver_history_quarterly.csv; 05_macro_tests_all.csv,confirmed,Band confirmed exactly. Test count not re-tallied.
05,1H26 coincided with THE FASTEST NIGHTS GROWTH IN TWO YEARS (+10.3%),fastest in 2 years,"4Q24 nights grew +12.3%, six quarters earlier","abnb_driver_history_quarterly.csv, nights_m_yoy_pct",wrong,"2Q26's +10.34% is the fastest since 4Q24, not the fastest in two years. Appears twice (bottom line 5 and the shock-episode table)."
05,CPI airline fares +25.5% y/y July 2026,+25.5%,+25.55%,FRED CUSR0000SETG01,confirmed,
05,"Prob-weighted FY27: nights +8.5%, revenue +10.3%, margin 36.4% on 30/50/20",8.5/10.3/36.4,8.50 / 10.29 / 36.38 from the scenario rows and weights,05_macro_scenarios.csv,confirmed,"Arithmetic exact. But the FY27 margin anchor (36.5) is imported from the pre-existing margin note, not from WS07. See CONF-02."
05,"Post-2022 accelerating quarters average +6.7% day-1 (n5), decelerating -5.4% (n9)",+6.7 / -5.4,+6.7 (n5) / -5.4 (n9) reproduce exactly,data/processed/overnight/05_reaction_by_accel.csv,confirmed,"Reproduces, but WS04's independent 'nights acceleration positive' sign test has n=9 over the full sample against WS05's n=6, i.e. the two notes construct 'acceleration' differently. n=5 subgroup means are base rates, not estimates. See CONF-16."
06,"CoStar US hotel ADR $171.74 in July 2026, +5.7% y/y, RevPAR +8.2%",171.74/+5.7/+8.2,not independently verifiable - CoStar is subscription-only; the note records a 26 Aug 2026 publication date,research/notes/overnight/06 section 1.2,unverifiable,Hand-entered external. FRED CPI lodging is +2.83% y/y in July 2026 - a materially smaller number. Do not present +5.7% as if CPI agrees.
06,CPI lodging away from home went -1.9% (Jan 2026) to +5.0% (May 2026),-1.9 / +5.0,-1.89 / +5.03,FRED CUSR0000SEHB,confirmed,
06,2Q26 bedroom nights +12% vs nights +10%; LTM >1bn bedroom nights; >=1.79 bedrooms/night; ADR per bedroom-night <=$103,12/10/1bn/1.786/102.87,"letter: 'grew over 12%' vs nights 10%, 'more than 1 billion' LTM; 1000/560.0=1.786; 183.73/1.786=102.89",data/raw/letters/2Q26_d70413dex991.htm; abnb_driver_history_quarterly.csv,confirmed,Caveat: an LTM bedrooms-per-night ratio is applied to a single-quarter ADR. Both bounds are stated correctly as 'at least'/'at most'.
06,About half of active listings were on the single 15.5% fee by 2Q26,~50% at 2Q26,"1Q26 call: 'over a quarter of our active listings'. 2Q26 call: API hosts done, 'begun migrating the remainder', entire base by year-end. No ~50% figure exists.","data/raw/regulatory/transcripts/2026-Q1.json, 2026-Q2.txt; 2Q26 letter",unsupported,"A reasonable interpolation, not a disclosure. See CONF-11."
06,"1.71m fee-inclusive quotes; separate cleaning-fee line in 0.02% of quotes, service-fee line in 0%",1.71m / 0.02% / 0%,"1,707,390 quotes; quote-weighted cleaning-fee line 0.004-0.007%; service-fee line 0.000%",data/processed/overnight/06_quote_discount_panel.csv,confirmed,"Cleaning-fee share is ~0.006%, not 0.02%; immaterial to the point."
06,"Share of quotes carrying a discount rose from 10.9% (Mar 2026) to 31.4% (Aug 2026), higher in all 13 cities",10.9 -> 31.4,"10.9 and 31.4 are CROSS-CITY MEDIANS; the quote-weighted shares are 17.3% -> 31.4%. March covers 10 cities, August 13.",06_quote_discount_panel.csv,wrong,"Two problems. (1) Mislabelled - 'share of available quotes' is 17.3%, the median city is 10.9%. (2) Confounded - the share of quotes carrying a TAXES line goes 0.20% (May) -> 0.58% (Jun) -> 5.65% (Jul) -> 6.54% (Aug) and NYC swings 41.5 -> 25.3 -> 43.5, i.e. the quote schema changed mid-series. Do not slide without a matched-listing panel."
06,"Hedonic: bedroom +15.1%, rating>=4.9 +9.5%, Superhost +1.0%, n=1.38m",15.1/9.5/1.0/1.38m,"+15.05 / +9.50 / +1.01, n 1,375,944 on the quote_per_night basis",data/processed/overnight/06_wtp_hedonic_coefs.csv,confirmed,On the listed_nightly basis Superhost is -1.2%; the note correctly uses the quote basis and says 'do not model a Superhost premium'.
06,Single-fee take-rate uplift +40 to +50bps if the replaced guest fee was 14.1%; sign flips negative above ~14.6%,+40-50bps,"the arithmetic reproduces from the note's own table; the 14.1% blended guest fee is an assumption, not a disclosure",research/notes/overnight/06 section 2,confirmed,The conclusion depends entirely on an unobservable. Keep the sign-flip caveat in the pitch.
06,Management guided 'modest upside to our take rate' from the single fee and insurance,quote,verbatim in the 1Q26 call transcript,data/raw/regulatory/transcripts/2026-Q1.json,confirmed,
07,Q2'22->Q2'26: revenue/night $20.29->$24.33; cash cost/night $13.49->$15.93; 85% of the +$2.44 is S&M,20.29/24.33/13.49/15.93/85%,20.29 / 24.33 / 13.49 / 15.93; S&M delta +2.08 = 85.2%,data/processed/overnight/07_cost_lines_per_night.csv,confirmed,"The $1.18 brand / $0.90 field split is a residual: the GAAP field-ops per-night delta is +$1.06, so the two components sit on different bases. Headline unaffected."
07,"1H26 brand & performance marketing +32% ($1,091M vs $824M); field ops +24%",+32 / 1091 / 824 / +24,"+32.4% (1,091 vs 824); field ops +24.4% (535 vs 430)",07_cost_lines_per_night.csv,confirmed,FY25 field ops +43.3% to $993M and brand +9.6% also confirmed - the 2025/2026 reversal is real.
07,"AI support: ops & support cash cost per night $2.13 (1H25) -> $2.05 (1H26), -3.8%, worth +0.39 pts of margin",2.13/2.05/-3.8/+0.39,"2.130 / 2.049 / -3.78%; $0.0805/night x 304.5m nights / $6,286m revenue = 0.39pp",07_cost_lines_per_night.csv; abnb_driver_history_quarterly.csv,confirmed,Cleanest quantification in the run.
07,FY25 peers: ABNB op margin 20.8% / SBC 13.1% / EBITDA proxy 34.6% / SBC-adj FCF 24.6% vs BKNG 32.8 / 2.3 / 37.4 / 31.5,as stated,all six values match the file exactly,data/processed/overnight/07_peer_margin_benchmark.csv,confirmed,"ABNB FY25 SBC/revenue is 12.9% on the driver panel (1,581/12,241) vs 13.1% here. See CONF-15."
07,Lever model base FY26 36.1% / FY27 36.6% / FY28 37.5%; P(>=40% by FY28) = 21%,36.1/36.6/37.5/21%,lever inputs reproduce from the CSV; script re-runs clean; the Monte Carlo was not re-derived,data/processed/overnight/07_margin_levers_fy26_fy28.csv,confirmed,The 21% rests on assumed lever correlations that are not themselves estimated.
07,Base-case revenue $14.2B / $15.8B / $17.6B FY26-28,14.2/15.8/17.6,"internally consistent (+11.3% FY27) but 1-1.5% below WS10's bottom-up FY26 14,234 and FY27 ~16,000",07_margin_levers_fy26_fy28.csv vs 10_regional_forecast.csv,confirmed,See CONF-01 and CONF-03.
07,"Purchase obligations $719M (Dec 24) -> $1,749M (Dec 25); data-hosting commitment $672M -> $1,700M",719 / 1749 / 672 / 1700,"PurchaseObligation 719 (FY24) -> 1,749 (FY25); LongTermPurchaseCommitmentAmount 672 (FY24) -> 1,700 (FY25)",data/raw/xbrl/ABNB_companyfacts.json (10-K facts),confirmed,"Verified against XBRL, not just the note's citation. This is the load-bearing evidence against Chesky's 'AI will not affect the P&L' and it holds: +$1.03bn of purchase obligations and a 2.5x step-up in the data-hosting commitment in one year."
08,468 evaluable walk-forward pairs; 29 beat naive; 7 beat by >=20%,468/29/7,468 / 29 / 7,data/processed/overnight/08_test_scoreboard.csv (column sums),confirmed,598 tests in total; 25 beat naive AND AR(1).
08,"Funds held y/y (lag 1) -> next-quarter revenue: r +0.89, n14, WF ratio 0.60 vs naive and 0.59 vs AR(1), sign right 8 of 10",0.89/0.60/0.59/8-of-10,0.8903 / 0.6001 / 0.5896 / sign acc 0.80,data/processed/overnight/08_backlog_tests.csv row 24,confirmed,"BUT the same pair on the longer window (WF from 2023Q1, wf_n 14) is 1.69x naive and 1.85x AR(1) with 57% sign accuracy. The note does not disclose this. See CONF-07."
08,"Google Trends: 432 tests; zero of 162 evaluable pairs beat naive on the full window; 7 of 162 post-2022, none by >17%",432/0/7,"432 trends rows; full window n_beat_naive 0, post-2022 7; best ratio 0.836 (16.4% better)","08_test_scoreboard.csv, 08_feature_tests_all.csv",confirmed,The clearest negative in the run and it is correctly reported.
08,"No composite index beats naive: demand 1.66/1.28/1.28, supply 1.19/1.44, price 1.09/1.40; NNLS 1.40/1.35/1.39",as stated,1.660 / 1.277 / 1.280; NNLS 1.395 / 1.349 / 1.393,data/processed/overnight/08_index_backtests.csv,confirmed,"Measured against AR(1) rather than naive, 17 of 42 index rows do beat. The note's naive framing is the harder baseline and is the honest one to keep."
08,"fx_contribution_to_adr_3q26 = +0.80pp, 'the single number I would put on a slide'",+0.80pp,+0.80 from the USD-broad fit; the EUR/USD fit on the same data gives -1.27pp for the same quarter,05_fx_schedule.csv (adr_fx_effect_fit_usd_pp vs _eur_pp),confirmed,"Value reproduces, but WS05's own 3Q26 ADR-FX range is -1.3 to +0.8. See CONF-05."
08,Eurostat stops at March 2026; 2026Q1 EU27 platform nights +9.7% y/y is the point-in-time read for the Q3 print,"stops Mar 26, +9.7%",publication lag confirmed in the file; the +9.7% not re-pulled from Eurostat,10_eurostat_platform_monthly_latest.csv,confirmed,WS10 independently states the same ~150-day lag.
08,"3Q26 nowcast +12.0% (+/-2.0) revenue growth, below the +14.5-16.5% guide, closing once RNPL is added back",+12.0%,reproduces from the fitted slope 0.60 x funds-held +10.46%,08_q3_2026_nowcast.csv,confirmed,"The +3pp RNPL add-back is an eyeballed adjustment from two observations (1Q26 -3.4pp, 2Q26 -2.8pp), not an estimated term."
09,"Post-print 20-session drift: mean -3.7%, t -2.16, p 0.042, negative in 15 of 23",-3.7/-2.16/15of23,-3.750 / -2.164 / p 0.0416 / share_positive 0.348 => 15 negative,data/processed/overnight/09_earnings_drift_stats.csv,confirmed,
09,"Up-prints drift -7.1% at 20d (t -2.58) and -14.8% at 60d (t -2.36, negative 8 of 10); down-prints -0.7% / +0.4%",as stated,-7.096 / -2.579; -14.803 / -2.362 / share_positive 0.20; -0.683 / +0.437,same,confirmed,
09,"From 2023 the all-print drift is -2.3% (t -1.15, not significant) - the fade has broken",-2.3 / -1.15,-2.316 / -1.148,same,confirmed,Honest self-limitation; keep it in the pitch.
09,"May: underperformed QQQ in all six years, mean -14.5%, p 0.0016; Feb +7.7% 6 of 6 p 0.005; Nov -5.1% 5 of 5 p 0.03",as stated,-14.483 / p 0.00156 / 0 of 6 positive; +7.667 / 6 of 6 / p 0.0047; -5.054 / 0 of 5 / p 0.0273,data/processed/overnight/09_seasonality.csv (excess_QQQ),confirmed,"54 seasonal tests in the file, matching the stated scan size. May vs the BKNG/EXPE average (-6.4%, p 0.045, 6 of 6) also confirmed."
09,Mean absolute day-1 earnings move 7.07% (median 6.87%); no implied event premium 60 days out (0.002 pts),7.07/6.87/0.002,"7.072; straddle ledger 13.38 near / 15.65 far, event premium 0.0016 pts",09_implied_vs_realised.csv; 09_implied_move_live.json,confirmed,
09,Beta to the 10-year yield is statistically zero in every year (|t| <= 0.9),0.0,not re-estimated,09_factor_model_by_period.csv,unverifiable,Not re-fitted in this pass.
09,"Mean live price target $179.88 across 32 targets, -1.1% vs $181.94 spot",179.88 / 32,179.875 / 32 / -1.13%,09_positioning_ratings_monthly.csv last row,confirmed,WS12 reports $179.55 across 31 for the same date. See CONF-09.
09,"Sell-side 49% Buy / 43% Hold / 8% Sell, 49 firms",49/43/8/49,0.4898 / 0.4286 / 0.0816 / 49,same,confirmed,
09,Recommended cost of equity 10.5-11.5% (Rf 4.78% + beta 1.2-1.3 x ERP 4.5-5.5%),10.5-11.5%,FRED DGS10 is 4.77% on 3 Sep 2026 (4 Sep not yet published),FRED DGS10,confirmed,WS12 uses 10.3% with beta 1.161. See CONF-08.
10,Regional panel reconciles to reported total nights growth within 1.1pp every quarter since 4Q22; mean residual -0.41pp over the last four,1.1pp / -0.41,max |residual| 1.06pp (2Q26); mean of 3Q25-2Q26 = -0.4075,data/processed/overnight/10_regional_panel_quarterly.csv,confirmed,
10,2Q26 nights shares NA 29.3 / EMEA 39.6 / LatAm 14.8 / APAC 16.2; contributions 2.35/3.17/2.96/2.92 of 11.40pp; LatAm+APAC 52% of growth,as stated,exact match; 5.88/11.40 = 51.6%,same,confirmed,"Shares are estimates calibrated to the disclosed ~30% NA in 1Q25-3Q25, not disclosures."
10,NA revenue share 42.4% of FY25 revenue; US 39.3%,42.4 / 39.3,42.4% reproduces from the quarterly XBRL regional splits weighted by revenue,10_regional_panel_quarterly.csv; 10_regional_revenue_xbrl.csv,confirmed,
10,"FX pass-through to reported ADR: EMEA 1.04 (r 0.987, n10), LatAm 0.62 (r 0.996, n7), APAC 0.86 (r 0.972, n5)",as stated,values match the file,data/processed/overnight/10_regional_fx_passthrough.csv,confirmed,"n of 5-10 with r of 0.97-1.00 on a mechanical identity: this is an accounting relationship, not a discovery. Fine to use, do not call it a finding."
10,"Bottom-up 3Q26: nights +10.3%, revenue +16.6% ($4,775m), just above the $4,690-4,770m guide",10.3 / 16.6 / 4775,"4,775/4,095 = +16.61%; guide top 4,770",10_regional_forecast.csv; 2Q26 letter,confirmed,"~1% below WS02's cushion-based $4,815m. See CONF-04."
10,"FY27 base nights +9.2%, revenue +12.4%; FY26 base revenue $14,234m (+16.3%)",9.2 / 12.4 / 14234,"14,234/12,241 = +16.28%; implies 4Q26 revenue 3,173 (+14.2%)",10_regional_forecast.csv,confirmed,"FY26 base is 0.5-1.0% above Street. See CONF-01, CONF-03."
10,The 3pp 3Q26 FX tailwind is not a spot number: the revenue-weighted spot basket is only +0.3% y/y in 3Q26 QTD,+0.32%,"+0.32 in the file; corroborated by FRED (broad USD -0.39% y/y, EUR/USD -1.56%)",10_fx_basket.csv; FRED DTWEXBGS/DEXUSEU,confirmed,The single most useful FY27 bridge point in the run and it is well supported.
10,"Canadian trips to the US -31% mid-2025, positive from April 2026 (+1.8 / +9.9 / +5.0)",as stated,present in the benchmark file; StatCan table 24-10-0053 cited,10_bench_canada_travel_monthly.csv,confirmed,Not re-pulled from StatCan.
11,Airbnb's share of the two-player alt-accom nights pool fell 59.4% (2022) to 54.5% (2025); reversed in 1H26,59.4 -> 54.5,"values in the file; BKNG Q2'26 alt-accom room nights +4% verified against the SEC-filed release (total room nights 325m, +5%)",11_alt_accom_share.csv; BKNG Q2 2026 earnings release on sec.gov,confirmed,"BKNG's alt-accom MIX is a rounded 'approximately 30/33/35%' management figure, so the share LEVEL is +/-1-2pts. The note says so."
11,Nights per average active listing flat at 62.5 / 62.7 / 62.6 / 62.7 for 2022-25,62.5-62.7,"arithmetic reproduces from nights / midpoint listings (6.30, 7.15, 7.85, 8.50m); 'over 8 million' (4Q24) and 'over 9 million' (4Q25) confirmed in the letters",11_supply_economics.csv; 4Q24 and 4Q25 letters,confirmed,"Precision is illusory: listing levels are rounded to the nearest million, so +/-0.2 constancy sits inside the input error. It also restates a company disclosure ('active listings grew relatively in-line with Nights and Seats Booked', 4Q25 letter). Keep the conclusion, drop the decimals."
11,Inside Airbnb year-ago retention fell 75.4% -> 71.1% across seven cities; gross adds 25-26% of the ending base,75.4 -> 71.1,values present in the file,11_supply_economics.csv,confirmed,"Seven cities, one year-pair. Not re-derived from the dumps."
11,Booking disclosed AI tools drove <1% of room nights in Q2'26; mid-case AI referral cost FY28 $329m = 1.9% of revenue = 5.3% of Adj. EBITDA,329 / 1.9% / 5.3%,1.9% reproduces on a ~$17.4bn FY28 base; $329m follows from 5% of GBV x a 5% fee,11_ai_exposure_scenarios.csv,confirmed,"All three legs (5% of GBV, 5% fee, 2028 timing) are assumptions, correctly labelled as such."
11,"Regulation: median revenue drag 0.15 / 0.45 / 0.87%, mean 0.25 / 0.75 / 1.23%, p95 0.92 / 2.74 / 3.96%; 93% European; EMEA nights -1.07% 2027, -2.07% 2028",as stated,exact match,data/processed/overnight/11_regulatory_overlay.csv,confirmed,
11,"New businesses FY28 $717m / $1,426m / $2,511m; incremental $235m / $914m / $1,987m = 1.4 / 5.4 / 11.7% of a ~$17bn base",as stated,percentages reproduce on a $17.0bn base,11_new_business_scenarios.csv,confirmed,"Every FY25 base (hotels ~$290m, Experiences ~$90m, Services ~$12m) is the author's estimate; Airbnb discloses none. The note states this."
11,"A 6-10% host fee pilot on host-originated direct links, announced 29 Aug 2026; scaled to 10% of nights at an 8-pt discount that is ~-0.8pts of blended take rate",6-10% / -0.8pts,"the Skift page exists, dated 30 Aug 2026: 'Airbnb is offering some hosts direct booking links that come with a reduced service fee'. Body is paywalled; the 6-10% range could not be read.",https://skift.com/2026/08/29/airbnb-is-testing-lower-fees-for-hosts-who-bring-their-own-guests/,unverifiable,Existence and direction confirmed from page metadata only. -0.8pts is larger than the entire single-fee benefit and is the biggest unverified downside number in the run. Do not put it in the model until the article or an Airbnb help-centre page is read.
11,+3 pts of Q1'26 nights growth from Reserve Now Pay Later; subtract from the FY27 nights path,+3pts from RNPL,1Q26 call: RNPL + redesigned cancellation policies + single-fee migration TOGETHER delivered ~3 points of nights and ~4 points of GBV growth,data/raw/regulatory/transcripts/2026-Q1.json,wrong,"Misattributes a three-feature effect to one feature, and the error propagates into a 3pt FY27 nights haircut and the +6% bear case. See CONF-12."
12,"4Q21 to today: LTM adj. EBITDA +190%, price +9%, EV/LTM adj. EBITDA 55.6x -> 21.4x (-61%)",190 / 55.6 / 21.4 / -61,"4,617/1,592 = +190.0%; 55.566 -> 21.448 = -61.4%",12_regime_decomposition.csv; abnb_driver_history_quarterly.csv,confirmed,
12,"Each point of forward revenue growth is worth ~+0.48 turns of EV/EBITDA (t 8.3, R2 0.68); margin does not move the multiple (t 0.3)",+0.48 / 8.3 / 0.0,"30 specifications present and all reported, including the Durbin-Watson 0.93 warning and the 12m-change version (+0.49, t 5.6)",data/processed/overnight/12_abnb_multiple_regressions.csv,confirmed,Best-disclosed regression grid in the run: it reports its own autocorrelation problem and the weaker change-spec alongside.
