business,case,fy25_rev_musd,fy26_rev_musd,fy27_rev_musd,fy28_rev_musd,fy28_incremental_vs_platform_growth_musd,assumptions
sponsored_listings_ads,base,0.0,0.0,120.0,350.0,350.0,"Not launched; Wedbush (Aug 2026) expects sponsored listings in 2027 (pitch catalogue); Skift 2023 sized an ad platform at $1.2bn by 2026 (did not happen). Vrbo and Booking already sell placement; T5: paid placement and rebates already exist on the host side. Base: 2027 launch, 0.3% of GBV by FY28"
sponsored_listings_ads,bull,0.0,0.0,250.0,700.0,700.0,"Not launched; Wedbush (Aug 2026) expects sponsored listings in 2027 (pitch catalogue); Skift 2023 sized an ad platform at $1.2bn by 2026 (did not happen). Vrbo and Booking already sell placement; T5: paid placement and rebates already exist on the host side. Base: 2027 launch, 0.3% of GBV by FY28"
co_host_network,bear,0.0,0.0,0.0,0.0,0.0,No incremental take rate on co-host listings (Q1'25 call); value is supply quality (co-hosted new listings earn ~2x). Zero direct revenue in all cases
co_host_network,base,0.0,0.0,0.0,0.0,0.0,No incremental take rate on co-host listings (Q1'25 call); value is supply quality (co-hosted new listings earn ~2x). Zero direct revenue in all cases
co_host_network,bull,0.0,0.0,0.0,0.0,0.0,No incremental take rate on co-host listings (Q1'25 call); value is supply quality (co-hosted new listings earn ~2x). Zero direct revenue in all cases
long_term_stays,bear,,,,,,"17-18% of nights (2023-24 disclosures); inside core nights, not incremental; lower take rate after month three. Not modelled separately"
long_term_stays,base,,,,,,"17-18% of nights (2023-24 disclosures); inside core nights, not incremental; lower take rate after month three. Not modelled separately"
long_term_stays,bull,,,,,,"17-18% of nights (2023-24 disclosures); inside core nights, not incremental; lower take rate after month three. Not modelled separately"
rnpl_payments,bear,,,,,,"Reserve Now, Pay Later: ~20% of GBV (Q1'26), +3 pts nights (Q1'26), +1 pt cancellation rate; no fee revenue; working-capital drag (unearned fees). Laps from Q3'26 US. Growth lever inside core nights, not a revenue line"
rnpl_payments,base,,,,,,"Reserve Now, Pay Later: ~20% of GBV (Q1'26), +3 pts nights (Q1'26), +1 pt cancellation rate; no fee revenue; working-capital drag (unearned fees). Laps from Q3'26 US. Growth lever inside core nights, not a revenue line"
rnpl_payments,bull,,,,,,"Reserve Now, Pay Later: ~20% of GBV (Q1'26), +3 pts nights (Q1'26), +1 pt cancellation rate; no fee revenue; working-capital drag (unearned fees). Laps from Q3'26 US. Growth lever inside core nights, not a revenue line"
airbnb_for_work,bear,,,,,,"Last disclosure: ~700,000 companies (2019, https://news.airbnb.com/airbnb-for-work-700000/); no nights share disclosed since. Not modelled"
airbnb_for_work,base,,,,,,"Last disclosure: ~700,000 companies (2019, https://news.airbnb.com/airbnb-for-work-700000/); no nights share disclosed since. Not modelled"
airbnb_for_work,bull,,,,,,"Last disclosure: ~700,000 companies (2019, https://news.airbnb.com/airbnb-for-work-700000/); no nights share disclosed since. Not modelled"
TOTAL (hotels+experiences+services+ads),base,392.0,569.0,917.0,1426.0,914.0,Sum; incremental column = FY28 revenue minus the FY25 base compounded at the scenario's platform nights growth (i.e. what is not already inside the driver model's nights path). Base FY28 revenue (driver model) ~ $17bn
TOTAL (hotels+experiences+services+ads),bear,392.0,484.0,573.0,717.0,235.0,Sum; incremental column = FY28 revenue minus the FY25 base compounded at the scenario's platform nights growth (i.e. what is not already inside the driver model's nights path). Base FY28 revenue (driver model) ~ $17bn
TOTAL (hotels+experiences+services+ads),bull,392.0,686.0,1401.0,2511.0,1987.0,Sum; incremental column = FY28 revenue minus the FY25 base compounded at the scenario's platform nights growth (i.e. what is not already inside the driver model's nights path). Base FY28 revenue (driver model) ~ $17bn
