statement_id,date,period_referenced,event,speaker,role,theme,quote,quantity,quantity_num_low,quantity_num_high,unit,basis,scope,night_weighted,official_or_mirror,quote_verified,source_key,source_file,source_url,access_date,note
D011,2025-08-06,2Q25,call,Ellie Mertz,cfo,lead_time,"As you'll recall, back in April, lead times were heavily compressed. They were down about 7% year-over-year.",-7%,-7,-7,percent,"average booking-to-stay lead time, y/y change",global,no,mirror,file,call_2Q25,data/raw/transcripts/web/2Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/q2-2025/,2026-09-11,"Pre-RNPL. The only quantified y/y lead-time move Airbnb has given, and it fixes the scale at which management calls a lead-time shift large: roughly 7%, not a doubling."
D012,2025-11-06,4Q25,letter,Airbnb (shareholder letter),company,cancellation_policy,"Updated cancellation policies-We're helping hosts earn more and guests make changes more easily by updating our cancellation policies. Hosts can now choose a new policy that allows guests to cancel for free up to 14 days before check-in. And for all stays under 28 nights, guests can cancel for a full refund up to 24 hours after their reservation is confirmed, if they book more than 7 days before check-in.",14 days / 24 hours / 7 days / 28 nights,,,days,cancellation policy parameters,global,n/a,official,file,letter_3Q25,data/raw/letters/3Q25_d40503dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312525000000/d40503dex991.htm,2026-09-11,"The cancellation-redesign leg of the bundle. Two distinct mechanisms: a new 14-day free-cancel host policy, and a universal 24-hour grace period for bookings made more than 7 days out. The grace period mechanically creates a within-days cancellation spike in the booking quarter itself, unlike the RNPL payment-deadline cancellations which land near check-in."
D013,2025-11-06,4Q25,letter,Airbnb (shareholder letter),company,simplified_fees,"In October, we took steps to simplify our fee structure, which we",October 2025,,,date,fee migration start,software-connected / PMS hosts,n/a,official,file,letter_3Q25,data/raw/letters/3Q25_d40503dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312525000000/d40503dex991.htm,2026-09-11,"Tranche 1 start date. The 2Q26 call instead says 'September of last year'; the 1Q26 letter says 'Beginning in Q4 2025'. The simplified-fee start is therefore a September to October 2025 range, not a point."
D014,2026-02-12,4Q25,call,Ellie Mertz,cfo,bundle_contribution,"In total, we estimate these three features delivered over 200 basis points of growth in nights booked and roughly 300 basis points of growth in GBV in Q4.",>200bp nights / ~300bp GBV,2.0,3.0,growth points,"y/y growth contribution of RNPL plus updated cancellation policies plus simplified fees, combined",global,yes,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"A second, earlier bundle attribution that the RNPL handoff does not carry. It puts the 1Q26 ~3pt figure on a trajectory: >2pts in 4Q25 rising to ~3pts in 1Q26. Three features, global, nights and GBV legs differ by ~1 point, which is the ADR/mix wedge."
D015,2026-02-12,4Q25,call,Ellie Mertz,cfo,bundle_contribution,"In Q4, a few updates in particular helped drive our acceleration. The launch of Reserve Now, Pay Later, updates to our cancellation policy, and the beginning of our migration to a simplified fee structure.",3 features,,,count,composition of the bundle,global,n/a,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,Names the three features. No per-feature split has ever been disclosed for any quarter.
D016,2026-02-12,4Q25,call,Ellie Mertz,cfo,adr_mix,"Reserve Now, Pay Later saw significant adoption among eligible guests in Q4. It's also led to longer booking lead times and a mix shift towards larger entire homes, especially those with four more bedrooms, contributing to",4+ bedrooms,,,qualitative,mix of booked listings,global,no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"The mix shift is why RNPL ADR exceeds non-RNPL ADR, which is why an RNPL GBV share overstates its nights share. Direction is disclosed; the ratio is not."
D017,2026-02-12,4Q25,call,Ellie Mertz,cfo,cancellation_rate,"I think one piece of perspective is that in terms of the aggregate nominal increase in cancellations rate, it's approximately 1%.",~1 point,1.0,1.0,percentage points,"platform aggregate cancellation rate, increase, denominator not stated","global platform, all bookings",no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"No denominator, no period, no unit of account. 'Nominal increase' is ambiguous between a level change in the rate and a change in cancellation volume."
D018,2026-02-12,4Q25,call,Ellie Mertz,cfo,cancellation_rate,"So, you know, an average of maybe 16% cancellation rate historically going to 17% is obviously higher within the cohorts that chooses that product, but is not hugely material relative to the broader cancellations on the platform.",16% -> 17%,16.0,17.0,percent,"platform-average cancellation rate, historical versus current; unit of account not stated",global platform,no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"The anchor figure. Hedged three ways in one sentence: 'an average of maybe', 'historically' with no base period, and no statement of whether the rate is per booking, per night or per dollar. It is not an RNPL cohort rate and not a quarterly series."
D019,2026-02-12,4Q25,call,Ellie Mertz,cfo,cancellation_timing,"we extensively tested the product to ensure that by the time the cohorts opting into the product had reached their check-in date, that it was net beneficial to the business, meaning that the growth lift in bookings was larger than the net increase in cancellations before check-in.",,,,qualitative,"net benefit measured at check-in date, per booking cohort",tested segments,no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"Decisive for the hypothesis. Management's net-benefit test is on a stay-date basis for a booking cohort. Reported Nights and Seats Booked is a transaction-period metric. A product can be net beneficial at check-in and still move nights between reported quarters, so this statement does not rule out a reported-nights timing drag."
D020,2026-02-12,4Q25,call,Ellie Mertz,cfo,cancellation_effect,"in the segments that we have launched this offering, the cancellation curves have, been, you know, very close to what we saw from a tested perspective, and so we feel, you know, frankly, quite good about the progress and the performance of that offering.",,,,qualitative,realised versus tested cancellation curve,launched segments,no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,Evidence against the hypothesis: management says realised cancellation timing matched the pre-launch tests. Confirms a cancellation curve exists internally and is undisclosed.
D021,2026-02-12,4Q25,call,Ellie Mertz,cfo,cancellation_effect,"over the full year, obviously there is a bit of a pull forward in terms of when people make their booking, but we are already absorbing the elevated level of cancellations from that product.",,,,qualitative,reported results to date,global,no,mirror,file,call_4Q25,data/raw/transcripts/web/4Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/396495-q4-2025/,2026-09-11,"Management's position is that the drag is already in the printed numbers, which is exactly the double-counting risk in applying a fresh haircut to a post-rollout baseline."
D022,2026-02-12,4Q25,letter,Airbnb (shareholder letter),company,take_up,"After a strong U.S. launch-with over 70% adoption by eligible bookings*-and testing in other markets, we're rolling it out to more guests in 2026.",>70%,70,70,percent,"adoption among eligible bookings, measured on global GBV in 4Q25",global eligible subset,no,official,file,letter_4Q25,data/raw/letters/4Q25_d58192dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d58192dex991.htm,2026-09-11,"The letter footnote reads '*Adoption percentage based on global GBV in Q4 2025.' That is a different basis from the 3Q25 call's 70% of people offered: one is GBV-weighted and global, the other is headcount and US. The two 70s are not the same statistic and must not be chained into a series."
D023,2026-02-12,4Q25,letter,Airbnb (shareholder letter),company,rollout_international,"In February 2026, we completed testing Reserve Now, Pay Later across additional markets, and currently plan to make it available to even more guests globally in 2026.",February 2026,,,date,completion of international testing,additional markets,n/a,official,file,letter_4Q25,data/raw/letters/4Q25_d58192dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d58192dex991.htm,2026-09-11,"Official corroboration that international go-live begins in 1Q26, not 4Q25."
D024,2026-02-12,4Q25,letter,Airbnb (shareholder letter),company,simplified_fees,"We began migrating property management software (""PMS"") hosts on our split fee structure (where hosts paid a 3% fee and guests paid a separate service fee) to a 15.5% single service fee. Additionally, most non-PMS hosts on our platform that were previously subject to our single fee structure are now subject to the 15.5% fee as of December.",15.5%,15.5,15.5,percent,host service fee rate,"PMS hosts from October 2025, most non-PMS single-fee hosts from December 2025",n/a,official,file,letter_4Q25,data/raw/letters/4Q25_d58192dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d58192dex991.htm,2026-09-11,"Two dated tranches inside 4Q25, not one. PR #32 models a single October tranche."
D025,2026-02-17,1Q26,newsroom,Airbnb Newsroom,company,rollout_international,"Reserve Now, Pay Later is now available to guests globally for domestic and international trips, giving guests even more flexibility to reserve eligible stays with nothing due at booking.",global,,,qualitative,availability by guest location,"global, excluding BRL / INR / TRY payers",n/a,official,web_2026-09-11,news_global,,https://news.airbnb.com/reserve-now-pay-later-is-now-available-worldwide/,2026-09-11,"The worldwide announcement. Fetched 2026-09-11. The same page states 'Reservations paid in Brazilian Real (BRL), Indian Rupee (INR), or Turkish Lira (TRY) are ineligible.' Exclusion is by payment currency, so it is not a clean country assignment."
D026,2026-02-18,1Q26,newsroom,Airbnb Newsroom (UK),company,rollout_international,"Reserve Now, Pay Later is available for UK guests booking eligible listings around the world with a flexible or moderate cancellation policy now.",2026-02-18,,,date,market go-live announcement,"UK guests, destinations worldwide",n/a,official,file,news_uk,data/raw/abnb_newsroom/https_news_airbnb_com_en_uk_introducing_reserve_now_pay_later_giving_guests_greater_flexibility.html.gz,https://news.airbnb.com/en-uk/introducing-reserve-now-pay-later-giving-guests-greater-flexibility,2026-09-11,"Local archive copy, datePublished 2026-02-18T16:26:49Z. Note the scope inversion versus the US launch: international guests get worldwide destinations, while US guests originally got domestic only."
D027,2026-02-23,1Q26,newsroom,Airbnb Newsroom (Asia Pacific),company,rollout_international,"Reserve Now, Pay Later will be available to all users, excluding those paying in Brazilian Real (BRL), Indian Rupee (INR), or Turkish Lira (TRY).",3 excluded currencies,3,3,count,currency-level exclusion from eligibility,"global, excluding BRL / INR / TRY payers",n/a,official,file,news_apac,data/raw/abnb_newsroom/https_news_airbnb_com_introducing_reserve_now_pay_later_giving_guests_greater_flexibility.html.gz,https://news.airbnb.com/introducing-reserve-now-pay-later-giving-guests-greater-flexibility,2026-09-11,"Footnote 1 of the Asia Pacific post, datePublished 2026-02-24T02:56:49Z, byline February 23, 2026. Identical footnote appears on the AU and CA posts. Brazil and India are two of Airbnb's fastest-growing markets, so the exclusion is material to any ex-NA lap assumption."
D028,2026-02-23,1Q26,newsroom,Airbnb Newsroom (Australia),company,rollout_international,"Reserve Now, Pay Later is available now for Australian guests booking eligible listings around the world with a flexible or moderate cancellation policy.",2026-02-23,,,date,market go-live announcement,"Australian guests, destinations worldwide",n/a,official,file,news_au,data/raw/abnb_newsroom/https_news_airbnb_com_en_au_introducing_reserve_now_pay_later_giving_guests_greater_flexibility.html.gz,https://news.airbnb.com/en-au/introducing-reserve-now-pay-later-giving-guests-greater-flexibility,2026-09-11,"Local archive copy, datePublished 2026-02-23T01:19:43Z."
D029,2026-03-04,1Q26,newsroom,Airbnb Newsroom (Canada),company,rollout_international,"Reserve Now, Pay Later complements Airbnb's suite of flexible payment options, helping make travel more affordable, including Pay Part Now, Part Later -where guests can pay a portion at checkout and the remainder closer to check-in-as well as Pay Over Time with Klarna .",2026-03-04,,,date,market go-live announcement,"Canadian guests, destinations worldwide",n/a,official,file,news_ca,data/raw/abnb_newsroom/https_news_airbnb_com_introducing_reserve_now_pay_later_giving_canadian_guests_greater_flexibility.html.gz,https://news.airbnb.com/introducing-reserve-now-pay-later-giving-canadian-guests-greater-flexibility,2026-09-11,"Local archive copy, datePublished 2026-03-04T19:33:11Z, the latest dated market post in the archive. Canada is in North America but got RNPL only in 1Q26, so 'NA only' in PR #32 is really 'US only' for the 2025 cohort. Also records two other flexible-payment products whose effects overlap RNPL's."
D030,2026-02-18,4Q25,newsroom,Airbnb Newsroom (UK),company,bundle_contribution,"The recent launch of Reserve Now, Pay Later in the US helped drive the acceleration of nights and seats booked in Q4 2025 from Q3 2025.",,,,qualitative,sequential acceleration in reported nights and seats booked,"US launch, global KPI",yes,official,file,news_uk,data/raw/abnb_newsroom/https_news_airbnb_com_en_uk_introducing_reserve_now_pay_later_giving_guests_greater_flexibility.html.gz,https://news.airbnb.com/en-uk/introducing-reserve-now-pay-later-giving-guests-greater-flexibility,2026-09-11,"Airbnb's marketing attributes the 3Q25 to 4Q25 nights acceleration to the US launch, which is a stronger claim than the letters make."
D031,2026-05-07,1Q26,letter,Airbnb (shareholder letter),company,gbv_share,"We're giving guests more flexibility in how they pay with Reserve Now, Pay Later. And in Q1, roughly 20% of global GBV came from Reserve Now, Pay Later bookings.",~20%,20,20,percent,share of global GBV booked in the quarter,global,no,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,"In the official letter, not only the call. GBV share, not nights share: converting it needs an RNPL-to-non-RNPL ADR ratio, and management has said the RNPL mix skews to larger higher-priced homes, so the nights share is lower than 20%."
D032,2026-05-07,1Q26,call,Ellie Mertz,cfo,bundle_contribution,"In total, we estimate these three features delivered approximately three points of nights booked growth and approximately four points of GBV growth in Q1.",~3 pts nights / ~4 pts GBV,3.0,4.0,growth points,"y/y growth contribution of RNPL plus updated cancellation policies plus simplified fees, combined",global,yes,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,"The headline bundle figure. Three features, global, net of cancellations already recognised. Not RNPL-only and not US-only. Pairs with D014: >2pts in 4Q25, ~3pts in 1Q26."
D033,2026-05-07,1Q26,call,Ellie Mertz,cfo,bundle_contribution,"First, we expanded Reserve Now, Pay Later to more markets, and adoption continued to increase. In addition to driving longer booking lead times and contributing to the increase in ADR, Reserve Now, Pay Later is driving a meaningful lift to all booking metrics, net of cancellation.",,,,qualitative,booking metrics net of cancellation,global,no,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,'net of cancellation' is management's own framing and is the phrase that makes a further cancellation haircut on the same quarters a double count.
D034,2026-05-07,1Q26,call,Ellie Mertz,cfo,rollout_international,"if you look at the timeline of last year, we initially launched Reserve Now, Pay Later in the U.S. in Q3 to great results. Over the course of Q4, we began merchandising up funnel so that there was broader awareness to the consumer before they got to checkout. We saw that that was incremental to lift as well. Most recently in Q1, we rolled out RNPL to most of the rest of the world.",4 dated steps,4,4,count,rollout chronology as stated by management,"US 3Q25, US merchandising 4Q25, rest of world 1Q26",n/a,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,"Management's own four-step timeline, and the direct answer to PR #32's top open question: the ex-US rollout is 1Q26, so the international lap falls in 1Q27, not 2026. It also shows the US effect itself ramped across two quarters through up-funnel merchandising, so the 3Q25 base is not a clean step."
D035,2026-05-07,1Q26,call,Ellie Mertz,cfo,cancellation_effect,"What I would say is that in every market that we have launched Reserve Now, Pay Later, there is a material lift to gross bookings. In all cases, we tested extensively to ensure that the net lift to bookings was positive. Certainly with the offering, there's a very elevated level of cancellations that come with the program. Across all regions, what we see is that the net impact is positive to the business.",,,,qualitative,gross bookings and net bookings,all launched regions,no,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,"'Very elevated level of cancellations' is the strongest cancellation language on record, and it sits in the same sentence as a positive net claim. Both halves belong in the ledger."
D036,2026-05-07,1Q26,call,Ellie Mertz,cfo,take_up,"In terms of relative adoption, the U.S. we are seeing the highest level of adoption, but the other markets are not far behind.",,,,qualitative,relative take-up by region,US versus other markets,no,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,"Implies ex-US take-up converges quickly, which argues the 1Q27 international lap is closer in size to the US lap than a slow-ramp assumption would give."
D037,2026-05-07,1Q26,letter,Airbnb (shareholder letter),company,unearned_fees,"Absent the impact of Reserve Now, Pay Later bookings, which defer guest payments from the time of booking closer to the date of stay, we expect that unearned fees and FCF would have grown year-over-year.",,,,qualitative,"unearned fees and FCF, y/y",global,no,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,"1Q26 unearned fees were +0.4% y/y against GBV +19.2%, per data/processed/overnight/02_kpi_panel_quarterly.csv in the main tree."
D038,2026-05-07,3Q26,letter,Airbnb (shareholder letter),company,unearned_fees,"Specifically, Reserve Now, Pay Later shifts the timing of guest payments closer to the date of stay, resulting in lower unearned fees in Q1 and Q2 and higher unearned fees in Q3.","lower Q1 and Q2, higher Q3",,,qualitative,"unearned fees by quarter, RNPL timing effect",global,no,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,"The single most useful forward-testable statement in the ledger. It is a dated, official, directional prediction about 3Q26 that can be scored on 5 November, and it runs against the FY2025 10-K's baseline seasonality, which says unearned fees normally fall in Q3 as check-ins peak. See the pre-registered thresholds in the note."
D039,2026-05-07,1Q26,letter,Airbnb (shareholder letter),company,lead_time,"In Q1 2026, we observed relatively consistent year-over-year trends in terms of market type and travel corridor, and saw a lengthening of lead times across all regions, driven in part by the continued expansion of our Reserve Now, Pay Later payment offering.","lengthening, all regions",,,qualitative,"average booking-to-stay lead time, y/y",all regions,no,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,"Longer lead times push a given booking cohort's stay dates, and therefore its payment-deadline cancellations, further into later quarters. That is the mechanism by which 1H26 bookings can deposit cancellations into 3Q26 and 4Q26."
D040,2026-05-07,2H26,letter,Airbnb (shareholder letter),company,lap,"We remain optimistic about our continued momentum, even as we face tougher comparisons in the back half of this year against the rollout of Reserve Now, Pay Later in 2025 and current headwinds from the Middle East conflict.",,,,qualitative,"y/y comparison difficulty, 2H26","global, against the 2025 US rollout",no,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,Management itself flags the 2H26 lap. This is the disclosure PR #32 builds its lap schedule on.
D041,2026-05-07,1Q26,call,Ellie Mertz,cfo,simplified_fees,Over a quarter of our active listings is now subject to the single service fee.,>25%,25,25,percent,share of active listings on the single service fee,global supply,no,mirror,file,call_1Q26,data/raw/transcripts/web/1Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/556160-q1-2026/,2026-09-11,"Call only; the 1Q26 letter's fee paragraph carries no percentage. The main tree's data/processed/overnight/06_fee_timeline.csv attributes this to the 1Q26 letter, which is a misattribution."
D042,2026-05-07,1Q26,letter,Airbnb (shareholder letter),company,cancellation_rate,"In Q1 2026, Nights and Seats Booked grew over 9% year-over-year, despite increased cancellations from the Middle East conflict. Absent the impact of the conflict, we estimate growth of Nights and Seats Booked would have been approximately 10% year-over-year, an acceleration compared to Q1 2025.",~1 growth point,0.85,1.0,growth points,reported nights growth reduction attributed to conflict-driven cancellations,"EMEA and APAC cancellations, global KPI",yes,official,file,letter_1Q26,data/raw/letters/1Q26_d23351dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d23351dex991.htm,2026-09-11,"The only case where Airbnb has sized a cancellation shock in reported-nights growth points. It calibrates the materiality arithmetic: roughly one growth point, which on the 1Q25 denominator of 143.1mm is about 1.4mm nights. That is the order of magnitude a cancellation event has to reach to be visible."
D043,2026-08-06,2Q26,call,Ellie Mertz,cfo,gbv_share,"Specifically in Q2, over 20% of our total GBV was booked using this flexible payment option.",>20%,20,20,percent,share of total GBV booked in the quarter,global,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,Call mirror only. The official 2Q26 letter confirms wider availability but carries no GBV share. 'Over 20%' against 1Q26's 'roughly 20%' is not a measurable increase.
D044,2026-08-06,3Q26,call,Ellie Mertz,cfo,eligibility,"Given the strong results that it's delivered, in July, we expanded the types of bookings eligible for Reserve Now, Pay Later.",July 2026,,,date,expansion of eligible booking types,not specified,n/a,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,"Call mirror only, and the new booking types are not named. This is fresh treatment landing inside 3Q26, working against the US anniversary in the same quarter. Its size is unknown, which is the main reason the 3Q26 lap cannot be signed from disclosure alone."
D045,2026-08-06,2Q26,call,Ellie Mertz,cfo,bundle_contribution,"First, we continue to see Reserve Now, Pay Later benefit the business. It drove more bookings, longer booking lead times, and contributed to the increase in ADR.",,,,qualitative,"bookings, lead times, ADR",global,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,2Q26 is the first print since 3Q25 with no quantified bundle growth contribution. Management updated two of the three features qualitatively and dropped the points figure.
D046,2026-08-06,2Q26,call,Ellie Mertz,cfo,rebooking,"Now, beyond the immediate uplift in nights booked, we believe this provides a longer-term competitive benefit, enabling hosts to lock in earlier calendar share and better aligning our payment options with guest preferences.",,,,qualitative,calendar share held by hosts,global,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,'Lock in earlier calendar share' is the mechanism by which an RNPL cancellation does not return the night to the market immediately; it also supports the newsroom's claim that hosts have time to secure a replacement booking.
D047,2026-08-06,2Q26,call,Ellie Mertz,cfo,simplified_fees,Approximately half of our active listings are now subject to the single service fee.,~50%,50,50,percent,share of active listings on the single service fee,global supply,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,"Call only. Supply on the single fee roughly doubled from 1Q26 to 2Q26 and is guided to the whole base by year-end, so the fee leg of the bundle is still ramping while its 2025 tranche laps. The two offset inside the same quarter."
