quarter_hit,event,event_date,first_public_signal,metric,direction,size,foreseeable,mgmt_flagged_before_quarter_end,source
1Q26,Middle East conflict: cancellations in EMEA and APAC,2026-01..03,2026-02 (press),nights y/y,down,-1 pt (mgmt: ~10% ex-conflict vs 9% reported),partly (conflict public; cancellation size not),yes (in letter),1Q26 letter
1Q26,Milan-Cortina Winter Olympics (6-22 Feb),2026-02-06,dated,"EMEA nights, Milan supply",up,~200k guests; Milan supply +30%,yes (dated),yes,1Q26 letter
1Q26,"USD weakness: FX +5 pts on ADR, +3 on revenue",2026-01..03,"spot, continuous",FX pts,up,"+5.0 ADR, +3 revenue",yes (spot FX),yes,1Q26 letter
2Q26,"FIFA World Cup (11 Jun-19 Jul), 16 host cities, 150k new listings",2026-06-11,2025-10 (host outreach),"nights, supply, first-time bookers",up,"not quantified; ""helped"" the Q3 nights guide; 3Q27 becomes an unfavorable comp",yes (dated),yes,2Q26 letter; call study
3Q26,"RNPL US anniversary: ~3 pts of 1Q26 nights growth was RNPL; US laps from Q3, global from 1Q27",2026-07,2026-05 (1Q26 letter),nights y/y,down,up to -3 pts if the whole RNPL lift laps; -1 to -2 if adoption is still rising,yes (mgmt dated it),yes,1Q26 letter outlook; call study
3Q26,"FX tailwind fades: ADR FX from the ADR v3 midpoint estimator; revenue FX from the fx_lag_v2 kernel (booking-date FX carried through the 2/3-1/3 GBV lag): ~3 pts Q3, ~1 pt Q4",2026-07..12,"spot, continuous",FX pts ADR/revenue,down (less tailwind),see h2_bridge_v2_fx_line.csv,yes (spot FX; hedging program),yes (Q3 revenue ~3 pts),adrv3/N1 card; fx_lag_v2 23_forecast_4q26_v2 (B4_FX_EXHIBIT.md)
3Q26,EU Affordable Housing Act draft (9 Sep 2026): city STR caps,2026-09-09,2026-09-04,headline/supply,down,no regulatory event has produced a >=7% move (0 of 41),yes (dated),no,catalyst calendar
3Q26,Host-fee 6-10% pilot for host-sourced bookings (Aug 2026),2026-08-31,2026-08-29,take rate,down,first explicit take-rate cut; size undisclosed,yes (public pilot),no,pitch landscape
4Q26,Atlantic hurricane season peak (Sep-Oct); 2024 analogue Helene/Milton,2026-09..10,seasonal,NA cancellations,down,2024: no visible KPI break,"partly (season dated, storms not)",n/a,3Q24 letter
4Q26,"US midterm elections (3 Nov, two days before the print); FY27 appropriations deadline 30 Sep (shutdown risk; 2025 precedent 43 days)",2026-11-03,calendar,"NA nights (election week), air travel",down (small),2024 election week softness; 2025 shutdown left no KPI mark,yes (dated),n/a,4Q24 and 4Q25 letters; 2026 shutdown status unverified
4Q26,Middle East / Strait of Hormuz: air capacity and oil; BKNG and EXPE flagged cross-border pressure in Q2,2026 ongoing,continuous,"cross-border nights, cancellations",down,1Q26: -1 pt; later quarters not quantified,partly,yes (1Q26),1Q26 letter; catalyst calendar
