item_id,item,quarter,unit,source,value,lo,hi,scoring_rule,baseline,owner,decision_required,recommended_default
INT-11,"3Q26 funds payable, y/y (REPLACES the unearned-fees threshold)",2026Q3,pct,"Theo RNPL balance-sheet bridge, 2026-09-11",8.0,5.0,11.0,"TWO-SIDED. SUPPORT (deferral on schedule, migration doing the work, no cancellation signal) if +5% to +11% AND the unearned-fees-minus-funds-payable growth gap WIDENS. Below +3% (= $7425M) the unpaid book is larger than modelled: MORE ADOPTION, NOT MORE CANCELLATION - say it in exactly those words. At or above +11% with the gap NARROWING the deferral has already arrived and there is no unpaid hole. Bands in dollars on the 3Q25 base of $7209M: +5% = $7569M, +11% = $8002M. Companion falsifier: re-solving u on the 3Q26 10-Q and getting 7-12 M nights again would contradict the module's ~22.6 M.","3Q25 funds payable $7209M. Pre-RNPL/pre-migration expectation for 3Q26: $8468M, +17.5%. Modelled deferral-only cells give +10.6 / +7.5 / +6.0 / +9.2 / -0.2%. Through 3Q25 both prepaid lines lagged GBV by the same ~4 pts (pure RNPL); from 4Q25 they split - funds payable +17.3% vs GBV +15.9% while unearned fees grew +7.9%. Only a transfer between the lines produces that sign pattern, and the transfer is the migration. CAVEAT: the funds-payable line also holds occupancy taxes and payouts in transit, and the Q3 seasonal norm rests on n=2 (3Q23, 3Q24).",Theo,TRUE,"D-10: adopt the two-sided rule. The tree currently carries two incompatible refutation conditions - 'below +3%' (03_short-thesis-viability, twice) and 'at or above +11% with the gap narrowing' (01_rnpl-nights-mechanics-audit sec6). Carrying only one makes the test unfalsifiable in practice."
INT-12,"3Q26 unearned fees, y/y (DESCRIPTION ONLY - retires D sec5 row 3)",2026Q3,pct,"Theo RNPL balance-sheet bridge, 2026-09-11",,-16.6,7.5,"NOT SCORED as evidence on cancellation. The original D sec5 row 3 threshold (<= -3% supports the drag) can be tripped by the fee migration ALONE: the five deferral-only cells give -2.1 / -8.4 / -16.6 / +7.5 / -1.7% with zero cancellation effect. Record the print, record the implied u and m, read no verdict off the line. Its remaining use is the second leg of INT-11's migration gap.","3Q25 $1820M; path +9.8 / +7.9 / +0.4 / -0.9% across 3Q25-2Q26; pre-RNPL/pre-migration expectation $2105M, +15.6%. Management's dated prediction (1Q26 letter 7 May 2026, ledger D038): RNPL 'results in lower unearned fees in Q1 and Q2 and higher unearned fees in Q3'. The FY2025 10-K says unearned fees normally FALL sequentially in Q3, so the test must be y/y, never sequential.",Theo,FALSE,Note: D1_prereg_thresholds.csv row 3 still carries the OLD unearned-fees rule. Three documents ask for the swap 'before the card is frozen'; none has done it. This row and INT-11 are that swap.
INT-13,"3Q26 backlog conversion, revenue / (revenue + closing unearned fees)",2026Q3,pct,"overnight2 D sec5 row 4, on Jessie's backlog-conversion table",,71,74,D sec5 row 4: >=74% is the 2026 wedge persisting or widening in the quarter management said it would reverse; 70-71% is back on the pre-RNPL seasonal constant; 71-74% inconclusive. INHERITS INT-12's confound - a migration-driven unearned-fee fall raises this ratio with no cancellation. Flag that on the slide.,"3Q 2022-2025 constant at 69.2% to 70.3%; 2026 ran 4.0 points high in both 1Q and 2Q (Q1 49.5% vs 45.5%, Q2 56.0% vs 52.0% on the seasonal series).",Jessie,FALSE,
INT-14,An RNPL GBV share disclosed for 3Q26,2026Q3,pct,overnight2 D sec5 row 6 (Krish),absent,21,24,"D sec5 row 6: flat or down vs 2Q26 WHILE nights decelerate supports the drag; >=25% with nights >=10% weakens it; 21-24% inconclusive. If no share is disclosed, score ABSENT - not SUPPORT.",1Q26 roughly 20% (official); 2Q26 'over 20%' (call mirror only). Reference flow: RNPL GBV booked ~$5.8bn in 1Q26 and ~$5.7bn in 2Q26.,Krish,FALSE,
INT-15,Does management restate the bundle contribution figure?,2026Q3,pts,overnight2 D sec5 row 7 (Krish),none given,,1.5,"D sec5 row 7: no figure given, or a figure <=1.5 points, is the anniversary arriving (SUPPORT). >=2.5 points for 3Q26 means the bundle is still adding despite the US lap (REFUTE). A qualitative update only is inconclusive - that is what 2Q26 gave. NEVER subtract management's '+3 points' as an RNPL-only lap: it is a three-feature bundle and two of the three are still ramping into the lap.",4Q25 call: 'over 200 basis points' of nights growth and 'roughly 300 basis points' of GBV growth. 1Q26 call: approximately 3 points of nights and 4 points of GBV. 2Q26: no figure given. Management quantified the bundle twice and then stopped.,Krish,FALSE,
INT-16,4Q26 guide midpoint,2026Q4,musd,"guidance-policy-v2 / B2, GBV_3Q26 integrated out",3161.3,3011.9,3311.8,SUPPORT if the printed guide midpoint is inside the 80% interval. Total sd 3.70% unconditional against 3.03% conditional - the honest cost of not knowing GBV_3Q26 at the pitch date. With the theta=0.83 primitives HALF fee step the midpoint is 3178.8 and the interval 3028.6-3330.2. NEVER conflate the guide with the print (3220.0 / 3237.8): they differ by 1.86%.,"guidance-policy|guide_mid_next_q LOSES BOTH WINDOWS: MAE 1.986 vs local naive 1.966 (W1) and 1.762 vs 1.609 (W2), bias +1.12 vs -0.51; rmse_ratio_to_naive is NaN on all four rows because the harness has no naive for this target. Gate G4 FAILS both windows on sign: 7/14 p 0.605 and 4/10 p 0.828. We have NO measured edge on the level or the sign of the next guide midpoint; this item is scored to find out, not to claim.",P1 / Theo,TRUE,"D-07: headline the no-fee-step 3161 and publish the fee-step 3179. The no-fee column is the conservative read (at theta=0.83 the migrated cohort's GBV falls 1.60%), and theta is a histogram bin midpoint from a VOLUNTARY Austin sub-sample - unidentified, not measured."
INT-17,P(4Q26 guide midpoint below each Street anchor),2026Q4,prob,guidance-policy-v2 / B2 unconditional mixture; anchors from L0 register + A1,0.49 LSEG / 0.50 SP / 0.63 Zacks (no fee step); 0.43 / 0.44 / 0.57 with the half fee step,0.43,0.63,"Scored PER VENDOR by log score and Brier against anchors re-pulled and timestamped 2-3 Nov; the 11 Sep vintages are the pre-registration and the Nov vintages are the scoring bar, and BOTH are recorded. Mandated presentation order from A1: say first that consensus disagrees with itself and that the vendors are $42M apart on Q4, THEN give P(below) as a RANGE (0.43-0.63), never one number.","THREE independent panels, not five: LSEG-family $3158M n=36 11 Sep (Alpha Vantage and Yahoo are ONE feed - high/low agree to the dollar and revision counts are identical), S&P Global MI $3160M n=35 10 Sep, Zacks $3200M n=10 11 Sep. MarketBeat/Fiscal.ai $4600M on 3Q26 is QUARANTINED, not a data point. The whole apparent edge is the $42M by which the panels disagree - itself smaller than the $126M by which Zacks disagrees with its own FY26 line. No vendor publishes a revenue median; Zacks' median is nearer $3150M, which would put it with the other two panels and remove the trade.","P4 - unassigned, propose Willem",TRUE,D-07 sets the fee treatment. Separately: NAME P4 and diarise the 2-3 Nov re-pull. Vendors overwrite; the trade flips on which vendor we cite.
INT-18,4Q26 nights bucket word,2026Q4,bucket,guidance-policy bucket vocabulary + overnight2 D sec5 row 5,high single digit,7.6,9.4,"SUPPORT for the bear branch if the word is 'high single digit'; SUPPORT for the bull branch if 'low double digit' is reiterated. On the implied rate (D sec5 row 5): <=7.5% supports the drag, >=9.5% weakens it, 7.6-9.4% inconclusive. Publish P(low double digit) = 0.30-0.35, NOT the declared 0.55 - the declared figure is above what the n-3 delta estimator supports and is labelled judgement.","Letter vocabulary: mid-single 4-6, high-single 7-9, low-double 10-12, low teens 12-14, mid teens 14-16. Candidate baselines: team +8.9% (132.7 M); ex-NA lap adjusted +8.0 to +8.2% (131.7-131.9 M); Theo re-based +7.64% (131.2 M); independent module +7.61% (131.2 M). Management guides the nights bucket BELOW the last observed growth rate in 2 of 3 cases and the realised number lands ABOVE the bucket in 2 of 2.",Krish,TRUE,D-08: adopt the ex-NA lap 8.0-8.2% as the base with 8.9% as the top of the band; ask Jessie to check the 40-50% split against the backlog-conversion table. D-11: do NOT chain Theo's 4Q26 -0.79pp ex-NA lap with PR #32's 1Q27 -1.75pp - that counts the ex-NA fee/cancellation leg twice.
INT-19,FY26 guide action at the Q3 print,FY2026,prob,"guidance-policy, 23 FY guide re-statements","raised, P=0.67",0.67,0.75,"SUPPORT if the FY26 revenue-growth guide is RAISED (a notch to 'high teens', or replaced by a point estimate). REFUTE if merely reiterated - that would be the first non-raise since the guide existed, and the repo's own definition of 'what a bad Q4 guide looks like'. A cut is a strong refutation.","Q3-print re-statements: 7 opportunities, 5 raises, 0 cuts -> Laplace 0.67. FY26-revenue line only: 2 of 2 -> Laplace 0.75. All 23 FY re-statements: 9 raises, 1 cut -> 0.40. The tell file's 'only raised, never cut' is WRONG: the FY2025 new-business investment guide was cut 225M -> 200M at the 2Q25 print.",P1 / Theo,TRUE,"D-09: publish 0.67 (n=7), record 0.75 (n=2), and state that there is one cut."
INT-20,"1Q27 guide midpoint - PLACEHOLDER, NOT SCORED 6 NOV",2027Q1,musd,"M3 guidance function, lagGBV(1Q27) = 2/3 GBV(4Q26) + 1/3 GBV(3Q26), lambda_Q1 12.66%",2960,2930,2990,"RECORDED NOW SO IT CANNOT BE FITTED LATER. Scored at the February 2027 print, on this card, unrevised. +9.4% to +11.6% y/y on 1Q26's $2678M - the first sub-teens quarterly guide since 2023, against a 1Q26 comp of +17.9%. If a first FY27 guide is given as a bucket: 'low double digits' P~0.55, 'low to mid teens' P~0.25, sub-10% P~0.20.",1Q26 actual +17.9%; Street FY27 $15740-15790M implies a materially higher first half.,P1 / Theo,FALSE,
INT-21,"FY27 revenue - EXPLORATORY, NOT A SCORED OBJECT",FY2027,musd,l1-reconciliation-v2 / B3,,15720.3,15837.6,"NOT SCORED, on 6 Nov or ever. Harness format v1.0 has no annual slot and its only LIVE target quarter is 2026Q3; at FY27 horizon BOTH lagged GBV terms in the kernel are themselves forecasts. Quote the band (+9.18% to +11.52% growth), never the point. The '+0.09pp edge over the Street' exists ONLY at kernel weight w = 2/3; at w = 0.33 the same build is -2.25pp BEHIND.","Street FY27: Zacks $15740M n=13, Alpha Vantage $15758M n=44, S&P $15770M, Yahoo $15790M n=43 (all 10-11 Sep vintages).",P1 / Theo,FALSE,
B-BULL,Branch rule: bull flip,2026Q3/Q4,conditional,"pitch flip rule, 09_NEXT_12_HOURS and 08_THESIS_MAP",PT 205-215,205,215,"LIVE if AND ONLY IF the printed 3Q26 take rate is >= 18.10% AND the 4Q26 nights guide word is 'low double digit'. Both legs required: 18.14% with 'high single digit' nights is NOT a bull flip, it is B-BASE. The two legs are read off the same demand path and are not independent evidence, which is exactly why both are required.",base branch PT 170-185.,W / Theo,FALSE,
B-BEAR,Branch rule: bear,2026Q3/Q4,conditional,"pitch flip rule, 09_NEXT_12_HOURS and 08_THESIS_MAP",PT 140-152,140,152,"LIVE if AND ONLY IF the 4Q26 nights guide word is 'high single digit' AND the printed 3Q26 take rate is flat, defined here as <= 17.88% - i.e. no better than 3Q25, the 'fully offset' case at P=0.28. Defined as <=17.88%, NOT as 'below 18.10%'.",base branch PT 170-185.,W / Theo,FALSE,
B-BASE,Branch rule: base,2026Q3/Q4,conditional,"pitch flip rule, 09_NEXT_12_HOURS and 08_THESIS_MAP",PT 170-185,170,185,"LIVE otherwise - including every mixed outcome, and including a printed take rate in the 17.88% to 18.10% corridor. Our own central case (18.14%) sits 4bp above the top of that corridor and the kernel's (18.09%) sits 1bp below it: the branch rule must not be decided at the 5bp level, so the corridor is B-BASE.",n/a - this is the residual branch.,W / Theo,FALSE,
