check,passed
score 80mae_musd,True
score 80signed_distance_bias_musd,True
inside rounding count 80,True
sample targets 81,True
score 81n,True
score 81n_year_clusters,True
score 81rmse_musd,True
score 81mae_musd,True
score 81signed_distance_bias_musd,True
inside rounding count 81,True
sample targets 82,True
score 82n,True
score 82n_year_clusters,True
score 82rmse_musd,True
score 82mae_musd,True
score 82signed_distance_bias_musd,True
inside rounding count 82,True
sample targets 83,True
score 83n,True
score 83n_year_clusters,True
score 83rmse_musd,True
score 83mae_musd,True
score 83signed_distance_bias_musd,True
inside rounding count 83,True
sample targets 84,True
score 84n,True
score 84n_year_clusters,True
score 84rmse_musd,True
score 84mae_musd,True
score 84signed_distance_bias_musd,True
inside rounding count 84,True
sample targets 85,True
score 85n,True
score 85n_year_clusters,True
score 85rmse_musd,True
score 85mae_musd,True
score 85signed_distance_bias_musd,True
inside rounding count 85,True
sample targets 86,True
score 86n,True
score 86n_year_clusters,True
score 86rmse_musd,True
score 86mae_musd,True
score 86signed_distance_bias_musd,True
inside rounding count 86,True
sample targets 87,True
score 87n,True
score 87n_year_clusters,True
score 87rmse_musd,True
score 87mae_musd,True
score 87signed_distance_bias_musd,True
inside rounding count 87,True
sample targets 88,True
score 88n,True
score 88n_year_clusters,True
score 88rmse_musd,True
score 88mae_musd,True
score 88signed_distance_bias_musd,True
inside rounding count 88,True
sample targets 89,True
score 89n,True
score 89n_year_clusters,True
score 89rmse_musd,True
score 89mae_musd,True
score 89signed_distance_bias_musd,True
inside rounding count 89,True
sample targets 90,True
score 90n,True
score 90n_year_clusters,True
score 90rmse_musd,True
score 90mae_musd,True
score 90signed_distance_bias_musd,True
inside rounding count 90,True
sample targets 91,True
score 91n,True
score 91n_year_clusters,True
score 91rmse_musd,True
score 91mae_musd,True
score 91signed_distance_bias_musd,True
inside rounding count 91,True
sample targets 92,True
score 92n,True
score 92n_year_clusters,True
score 92rmse_musd,True
score 92mae_musd,True
score 92signed_distance_bias_musd,True
inside rounding count 92,True
sample targets 93,True
score 93n,True
score 93n_year_clusters,True
score 93rmse_musd,True
score 93mae_musd,True
score 93signed_distance_bias_musd,True
inside rounding count 93,True
sample targets 94,True
score 94n,True
score 94n_year_clusters,True
score 94rmse_musd,True
score 94mae_musd,True
score 94signed_distance_bias_musd,True
inside rounding count 94,True
sample targets 95,True
score 95n,True
score 95n_year_clusters,True
score 95rmse_musd,True
score 95mae_musd,True
score 95signed_distance_bias_musd,True
inside rounding count 95,True
sample targets 96,True
score 96n,True
score 96n_year_clusters,True
score 96rmse_musd,True
score 96mae_musd,True
score 96signed_distance_bias_musd,True
inside rounding count 96,True
sample targets 97,True
score 97n,True
score 97n_year_clusters,True
score 97rmse_musd,True
score 97mae_musd,True
score 97signed_distance_bias_musd,True
inside rounding count 97,True
sample targets 98,True
score 98n,True
score 98n_year_clusters,True
score 98rmse_musd,True
score 98mae_musd,True
score 98signed_distance_bias_musd,True
inside rounding count 98,True
sample targets 99,True
score 99n,True
score 99n_year_clusters,True
score 99rmse_musd,True
score 99mae_musd,True
score 99signed_distance_bias_musd,True
inside rounding count 99,True
sample targets 100,True
score 100n,True
score 100n_year_clusters,True
score 100rmse_musd,True
score 100mae_musd,True
score 100signed_distance_bias_musd,True
inside rounding count 100,True
sample targets 101,True
score 101n,True
score 101n_year_clusters,True
score 101rmse_musd,True
score 101mae_musd,True
score 101signed_distance_bias_musd,True
inside rounding count 101,True
sample targets 102,True
score 102n,True
score 102n_year_clusters,True
score 102rmse_musd,True
score 102mae_musd,True
score 102signed_distance_bias_musd,True
inside rounding count 102,True
sample targets 103,True
score 103n,True
score 103n_year_clusters,True
score 103rmse_musd,True
score 103mae_musd,True
score 103signed_distance_bias_musd,True
inside rounding count 103,True
sample targets 104,True
score 104n,True
score 104n_year_clusters,True
score 104rmse_musd,True
score 104mae_musd,True
score 104signed_distance_bias_musd,True
inside rounding count 104,True
sample targets 105,True
score 105n,True
score 105n_year_clusters,True
score 105rmse_musd,True
score 105mae_musd,True
score 105signed_distance_bias_musd,True
inside rounding count 105,True
sample targets 106,True
score 106n,True
score 106n_year_clusters,True
score 106rmse_musd,True
score 106mae_musd,True
score 106signed_distance_bias_musd,True
inside rounding count 106,True
sample targets 107,True
score 107n,True
score 107n_year_clusters,True
score 107rmse_musd,True
score 107mae_musd,True
score 107signed_distance_bias_musd,True
inside rounding count 107,True
sample targets 108,True
score 108n,True
score 108n_year_clusters,True
score 108rmse_musd,True
score 108mae_musd,True
score 108signed_distance_bias_musd,True
inside rounding count 108,True
sample targets 109,True
score 109n,True
score 109n_year_clusters,True
score 109rmse_musd,True
score 109mae_musd,True
score 109signed_distance_bias_musd,True
inside rounding count 109,True
sample targets 110,True
score 110n,True
score 110n_year_clusters,True
score 110rmse_musd,True
score 110mae_musd,True
score 110signed_distance_bias_musd,True
inside rounding count 110,True
sample targets 111,True
score 111n,True
score 111n_year_clusters,True
score 111rmse_musd,True
score 111mae_musd,True
score 111signed_distance_bias_musd,True
inside rounding count 111,True
sample targets 112,True
score 112n,True
score 112n_year_clusters,True
score 112rmse_musd,True
score 112mae_musd,True
score 112signed_distance_bias_musd,True
inside rounding count 112,True
sample targets 113,True
score 113n,True
score 113n_year_clusters,True
score 113rmse_musd,True
score 113mae_musd,True
score 113signed_distance_bias_musd,True
inside rounding count 113,True
sample targets 114,True
score 114n,True
score 114n_year_clusters,True
score 114rmse_musd,True
score 114mae_musd,True
score 114signed_distance_bias_musd,True
inside rounding count 114,True
sample targets 115,True
score 115n,True
score 115n_year_clusters,True
score 115rmse_musd,True
score 115mae_musd,True
score 115signed_distance_bias_musd,True
inside rounding count 115,True
sample targets 116,True
score 116n,True
score 116n_year_clusters,True
score 116rmse_musd,True
score 116mae_musd,True
score 116signed_distance_bias_musd,True
inside rounding count 116,True
sample targets 117,True
score 117n,True
score 117n_year_clusters,True
score 117rmse_musd,True
score 117mae_musd,True
score 117signed_distance_bias_musd,True
inside rounding count 117,True
sample targets 118,True
score 118n,True
score 118n_year_clusters,True
score 118rmse_musd,True
score 118mae_musd,True
score 118signed_distance_bias_musd,True
inside rounding count 118,True
sample targets 119,True
score 119n,True
score 119n_year_clusters,True
score 119rmse_musd,True
score 119mae_musd,True
score 119signed_distance_bias_musd,True
inside rounding count 119,True
sample targets 120,True
score 120n,True
score 120n_year_clusters,True
score 120rmse_musd,True
score 120mae_musd,True
score 120signed_distance_bias_musd,True
inside rounding count 120,True
sample targets 121,True
score 121n,True
score 121n_year_clusters,True
score 121rmse_musd,True
score 121mae_musd,True
score 121signed_distance_bias_musd,True
inside rounding count 121,True
sample targets 122,True
score 122n,True
score 122n_year_clusters,True
score 122rmse_musd,True
score 122mae_musd,True
score 122signed_distance_bias_musd,True
inside rounding count 122,True
sample targets 123,True
score 123n,True
score 123n_year_clusters,True
score 123rmse_musd,True
score 123mae_musd,True
score 123signed_distance_bias_musd,True
inside rounding count 123,True
sample targets 124,True
score 124n,True
score 124n_year_clusters,True
score 124rmse_musd,True
score 124mae_musd,True
score 124signed_distance_bias_musd,True
inside rounding count 124,True
sample targets 125,True
score 125n,True
score 125n_year_clusters,True
score 125rmse_musd,True
score 125mae_musd,True
score 125signed_distance_bias_musd,True
inside rounding count 125,True
sample targets 126,True
score 126n,True
score 126n_year_clusters,True
score 126rmse_musd,True
score 126mae_musd,True
score 126signed_distance_bias_musd,True
inside rounding count 126,True
sample targets 127,True
score 127n,True
score 127n_year_clusters,True
score 127rmse_musd,True
score 127mae_musd,True
score 127signed_distance_bias_musd,True
inside rounding count 127,True
sample targets 128,True
score 128n,True
score 128n_year_clusters,True
score 128rmse_musd,True
score 128mae_musd,True
score 128signed_distance_bias_musd,True
inside rounding count 128,True
sample targets 129,True
score 129n,True
score 129n_year_clusters,True
score 129rmse_musd,True
score 129mae_musd,True
score 129signed_distance_bias_musd,True
inside rounding count 129,True
sample targets 130,True
score 130n,True
score 130n_year_clusters,True
score 130rmse_musd,True
score 130mae_musd,True
score 130signed_distance_bias_musd,True
inside rounding count 130,True
sample targets 131,True
score 131n,True
score 131n_year_clusters,True
score 131rmse_musd,True
score 131mae_musd,True
score 131signed_distance_bias_musd,True
inside rounding count 131,True
sample targets 132,True
score 132n,True
score 132n_year_clusters,True
score 132rmse_musd,True
score 132mae_musd,True
score 132signed_distance_bias_musd,True
inside rounding count 132,True
sample targets 133,True
score 133n,True
score 133n_year_clusters,True
score 133rmse_musd,True
score 133mae_musd,True
score 133signed_distance_bias_musd,True
inside rounding count 133,True
sample targets 134,True
score 134n,True
score 134n_year_clusters,True
score 134rmse_musd,True
score 134mae_musd,True
score 134signed_distance_bias_musd,True
inside rounding count 134,True
sample targets 135,True
score 135n,True
score 135n_year_clusters,True
score 135rmse_musd,True
score 135mae_musd,True
score 135signed_distance_bias_musd,True
inside rounding count 135,True
sample targets 136,True
score 136n,True
score 136n_year_clusters,True
score 136rmse_musd,True
score 136mae_musd,True
score 136signed_distance_bias_musd,True
inside rounding count 136,True
sample targets 137,True
score 137n,True
score 137n_year_clusters,True
score 137rmse_musd,True
score 137mae_musd,True
score 137signed_distance_bias_musd,True
inside rounding count 137,True
sample targets 138,True
score 138n,True
score 138n_year_clusters,True
score 138rmse_musd,True
score 138mae_musd,True
score 138signed_distance_bias_musd,True
inside rounding count 138,True
sample targets 139,True
score 139n,True
score 139n_year_clusters,True
score 139rmse_musd,True
score 139mae_musd,True
score 139signed_distance_bias_musd,True
inside rounding count 139,True
sample targets 140,True
score 140n,True
score 140n_year_clusters,True
score 140rmse_musd,True
score 140mae_musd,True
score 140signed_distance_bias_musd,True
inside rounding count 140,True
sample targets 141,True
score 141n,True
score 141n_year_clusters,True
score 141rmse_musd,True
score 141mae_musd,True
score 141signed_distance_bias_musd,True
inside rounding count 141,True
sample targets 142,True
score 142n,True
score 142n_year_clusters,True
score 142rmse_musd,True
score 142mae_musd,True
score 142signed_distance_bias_musd,True
inside rounding count 142,True
sample targets 143,True
score 143n,True
score 143n_year_clusters,True
score 143rmse_musd,True
score 143mae_musd,True
score 143signed_distance_bias_musd,True
inside rounding count 143,True
sample targets 144,True
score 144n,True
score 144n_year_clusters,True
score 144rmse_musd,True
score 144mae_musd,True
score 144signed_distance_bias_musd,True
inside rounding count 144,True
sample targets 145,True
score 145n,True
score 145n_year_clusters,True
score 145rmse_musd,True
score 145mae_musd,True
score 145signed_distance_bias_musd,True
inside rounding count 145,True
sample targets 146,True
score 146n,True
score 146n_year_clusters,True
score 146rmse_musd,True
score 146mae_musd,True
score 146signed_distance_bias_musd,True
inside rounding count 146,True
sample targets 147,True
score 147n,True
score 147n_year_clusters,True
score 147rmse_musd,True
score 147mae_musd,True
score 147signed_distance_bias_musd,True
inside rounding count 147,True
sample targets 148,True
score 148n,True
score 148n_year_clusters,True
score 148rmse_musd,True
score 148mae_musd,True
score 148signed_distance_bias_musd,True
inside rounding count 148,True
sample targets 149,True
score 149n,True
score 149n_year_clusters,True
score 149rmse_musd,True
score 149mae_musd,True
score 149signed_distance_bias_musd,True
inside rounding count 149,True
sample targets 150,True
score 150n,True
score 150n_year_clusters,True
score 150rmse_musd,True
score 150mae_musd,True
score 150signed_distance_bias_musd,True
inside rounding count 150,True
sample targets 151,True
score 151n,True
score 151n_year_clusters,True
score 151rmse_musd,True
score 151mae_musd,True
score 151signed_distance_bias_musd,True
inside rounding count 151,True
sample targets 152,True
score 152n,True
score 152n_year_clusters,True
score 152rmse_musd,True
score 152mae_musd,True
score 152signed_distance_bias_musd,True
inside rounding count 152,True
sample targets 153,True
score 153n,True
score 153n_year_clusters,True
score 153rmse_musd,True
score 153mae_musd,True
score 153signed_distance_bias_musd,True
inside rounding count 153,True
sample targets 154,True
score 154n,True
score 154n_year_clusters,True
score 154rmse_musd,True
score 154mae_musd,True
score 154signed_distance_bias_musd,True
inside rounding count 154,True
sample targets 155,True
score 155n,True
score 155n_year_clusters,True
score 155rmse_musd,True
score 155mae_musd,True
score 155signed_distance_bias_musd,True
inside rounding count 155,True
sample targets 156,True
score 156n,True
score 156n_year_clusters,True
score 156rmse_musd,True
score 156mae_musd,True
score 156signed_distance_bias_musd,True
inside rounding count 156,True
sample targets 157,True
score 157n,True
score 157n_year_clusters,True
score 157rmse_musd,True
score 157mae_musd,True
score 157signed_distance_bias_musd,True
inside rounding count 157,True
sample targets 158,True
score 158n,True
score 158n_year_clusters,True
score 158rmse_musd,True
score 158mae_musd,True
score 158signed_distance_bias_musd,True
inside rounding count 158,True
sample targets 159,True
score 159n,True
score 159n_year_clusters,True
score 159rmse_musd,True
score 159mae_musd,True
score 159signed_distance_bias_musd,True
inside rounding count 159,True
sample targets 160,True
score 160n,True
score 160n_year_clusters,True
score 160rmse_musd,True
score 160mae_musd,True
score 160signed_distance_bias_musd,True
inside rounding count 160,True
sample targets 161,True
score 161n,True
score 161n_year_clusters,True
score 161rmse_musd,True
score 161mae_musd,True
score 161signed_distance_bias_musd,True
inside rounding count 161,True
sample targets 162,True
score 162n,True
score 162n_year_clusters,True
score 162rmse_musd,True
score 162mae_musd,True
score 162signed_distance_bias_musd,True
inside rounding count 162,True
sample targets 163,True
score 163n,True
score 163n_year_clusters,True
score 163rmse_musd,True
score 163mae_musd,True
score 163signed_distance_bias_musd,True
inside rounding count 163,True
sample targets 164,True
score 164n,True
score 164n_year_clusters,True
score 164rmse_musd,True
score 164mae_musd,True
score 164signed_distance_bias_musd,True
inside rounding count 164,True
sample targets 165,True
score 165n,True
score 165n_year_clusters,True
score 165rmse_musd,True
score 165mae_musd,True
score 165signed_distance_bias_musd,True
inside rounding count 165,True
sample targets 166,True
score 166n,True
score 166n_year_clusters,True
score 166rmse_musd,True
score 166mae_musd,True
score 166signed_distance_bias_musd,True
inside rounding count 166,True
sample targets 167,True
score 167n,True
score 167n_year_clusters,True
score 167rmse_musd,True
score 167mae_musd,True
score 167signed_distance_bias_musd,True
inside rounding count 167,True
sample targets 168,True
score 168n,True
score 168n_year_clusters,True
score 168rmse_musd,True
score 168mae_musd,True
score 168signed_distance_bias_musd,True
inside rounding count 168,True
sample targets 169,True
score 169n,True
score 169n_year_clusters,True
score 169rmse_musd,True
score 169mae_musd,True
score 169signed_distance_bias_musd,True
inside rounding count 169,True
sample targets 170,True
score 170n,True
score 170n_year_clusters,True
score 170rmse_musd,True
score 170mae_musd,True
score 170signed_distance_bias_musd,True
inside rounding count 170,True
sample targets 171,True
score 171n,True
score 171n_year_clusters,True
score 171rmse_musd,True
score 171mae_musd,True
score 171signed_distance_bias_musd,True
inside rounding count 171,True
sample targets 172,True
score 172n,True
