quarter,metric,frozen_value,normalized_unit,frozen_display_step,original_checked_status,original_publication_date,original_publication_basis,original_time_value,original_time_basis,original_source_attempt_url,original_value,original_unit,original_normalized_value,original_source_id,original_source_url,original_document,original_section,original_first_known_date,original_precision_step_normalized,original_calculated,finer_or_later_corroboration_value,finer_or_later_corroboration_unit,finer_or_later_corroboration_normalized_value,finer_or_later_corroboration_source_id,finer_or_later_corroboration_source_url,finer_or_later_corroboration_document,finer_or_later_corroboration_section,finer_or_later_corroboration_first_known_date,finer_or_later_corroboration_precision_step_normalized,finer_or_later_corroboration_calculated,best_checked_value,best_minus_frozen,original_headline_rounding_compatible,best_vs_frozen_rounding_compatible,discrepancy_classification,precision_timing,filed_metric_name,definition,notes,treatment,as_of
2021Q1,adr_usd,159.82,USD_per_aggregate_booking,0.01,checked,2021-05-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-05-13T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,159.82,USD_per_aggregate_booking,159.82,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Quarterly summary,2021-05-13,0.01,False,,,,,,,,,,,159.82,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR",,descriptive_source_audit_no_replacement,2026-09-14
2021Q1,revenue_musd,887.0,USD_million,1,checked,2021-05-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-05-13T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,887,USD_million,887.0,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Quarterly summary,2021-05-13,1.0,False,886936,USD_thousand,886.936,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2021-05-13,0.001,False,886.936,-0.06399999999996453,True,True,rounding,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,,descriptive_source_audit_no_replacement,2026-09-14
2021Q2,nights_m,83.1,million_bookings,0.1,checked,2021-08-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-08-12T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,83.1,million_bookings,83.1,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Quarterly summary,2021-08-12,0.1,False,,,,,,,,,,,83.1,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2021Q2,gbv_musd,13400.0,USD_million,100,checked,2021-08-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-08-12T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,13.4,USD_billion,13400.0,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Quarterly summary,2021-08-12,100.0,False,13421.4,USD_million,13421.4,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Key business metrics: GBV (millions),2021-08-12,0.1,False,13421.4,21.399999999999636,True,True,rounding,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
2021Q2,adr_usd,161.45,USD_per_aggregate_booking,0.01,checked,2021-08-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-08-12T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,161.45,USD_per_aggregate_booking,161.45,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Quarterly summary,2021-08-12,0.01,False,,,,,,,,,,,161.45,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR",,descriptive_source_audit_no_replacement,2026-09-14
2021Q2,revenue_musd,1335.0,USD_million,1,checked,2021-08-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-08-12T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,1335,USD_million,1335.0,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Quarterly summary,2021-08-12,1.0,False,1335196,USD_thousand,1335.1960000000001,2021Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2021-08-12,0.001,False,1335.1960000000001,0.19600000000014006,True,True,rounding,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,,descriptive_source_audit_no_replacement,2026-09-14
2021Q3,nights_m,79.7,million_bookings,0.1,checked,2021-11-04,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-11-04T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,79.7,million_bookings,79.7,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Quarterly summary,2021-11-04,0.1,False,,,,,,,,,,,79.7,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2021Q3,gbv_musd,11900.0,USD_million,100,checked,2021-11-04,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-11-04T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,11.9,USD_billion,11900.0,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Quarterly summary,2021-11-04,100.0,False,11891.6,USD_million,11891.6,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Key business metrics: GBV (millions),2021-11-04,0.1,False,11891.6,-8.399999999999636,True,True,rounding,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
2021Q3,adr_usd,149.15,USD_per_aggregate_booking,0.01,checked,2021-11-04,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-11-04T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,149.15,USD_per_aggregate_booking,149.15,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Quarterly summary,2021-11-04,0.01,False,,,,,,,,,,,149.15,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR",,descriptive_source_audit_no_replacement,2026-09-14
2021Q3,revenue_musd,2237.0,USD_million,1,checked,2021-11-04,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-11-04T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,2237,USD_million,2237.0,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Quarterly summary,2021-11-04,1.0,False,2237432,USD_thousand,2237.4320000000002,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2021-11-04,0.001,False,2237.4320000000002,0.43200000000024374,True,True,rounding,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,,descriptive_source_audit_no_replacement,2026-09-14
2021Q4,nights_m,73.4,million_bookings,0.1,checked,2022-02-15,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-02-15T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,73.4,million_bookings,73.4,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Quarterly summary,2022-02-15,0.1,False,,,,,,,,,,,73.4,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2021Q4,gbv_musd,11300.0,USD_million,100,checked,2022-02-15,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-02-15T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,11.3,USD_billion,11300.0,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Quarterly summary,2022-02-15,100.0,False,11273.8,USD_million,11273.8,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Key business metrics: GBV (millions),2022-02-15,0.1,False,11273.8,-26.200000000000728,True,True,rounding,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
2021Q4,adr_usd,153.61,USD_per_aggregate_booking,0.01,checked,2022-02-15,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-02-15T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,153.61,USD_per_aggregate_booking,153.61,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Quarterly summary,2022-02-15,0.01,False,,,,,,,,,,,153.61,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR",,descriptive_source_audit_no_replacement,2026-09-14
2021Q4,revenue_musd,1532.0,USD_million,1,checked,2022-02-15,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-02-15T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,1532,USD_million,1532.0,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Quarterly summary,2022-02-15,1.0,False,1532196,USD_thousand,1532.1960000000001,2021Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2022-02-15,0.001,False,1532.1960000000001,0.19600000000014006,True,True,rounding,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,,descriptive_source_audit_no_replacement,2026-09-14
2022Q1,nights_m,102.1,million_bookings,0.1,checked,2022-05-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-05-03T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,102.1,million_bookings,102.1,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Quarterly summary,2022-05-03,0.1,False,,,,,,,,,,,102.1,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2022Q1,gbv_musd,17200.0,USD_million,100,checked,2022-05-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-05-03T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,17.2,USD_billion,17200.0,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Quarterly summary,2022-05-03,100.0,False,17164.8,USD_million,17164.8,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Key business metrics: GBV (millions),2022-05-03,0.1,False,17164.8,-35.20000000000073,True,True,rounding,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
2022Q1,adr_usd,168.07,USD_per_aggregate_booking,0.01,checked,2022-05-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-05-03T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,168.07,USD_per_aggregate_booking,168.07,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Quarterly summary,2022-05-03,0.01,False,,,,,,,,,,,168.07,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR",,descriptive_source_audit_no_replacement,2026-09-14
2022Q1,revenue_musd,1509.0,USD_million,1,checked,2022-05-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-05-03T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,1509,USD_million,1509.0,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Quarterly summary,2022-05-03,1.0,False,1508937,USD_thousand,1508.9370000000001,2022Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2022-05-03,0.001,False,1508.9370000000001,-0.06299999999987449,True,True,rounding,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,,descriptive_source_audit_no_replacement,2026-09-14
2022Q2,nights_m,103.7,million_bookings,0.1,checked,2022-08-02,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-08-02T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312522210001/d353427dex991.htm,103.7,million_bookings,103.7,2022Q2_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312522210001/d353427dex991.htm,Airbnb 2022Q2 shareholder letter,Quarterly summary,2022-08-02,0.1,False,,,,,,,,,,,103.7,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
